target_draw,draw_date,history_cutoff,period,era,consensus_ticket,actual_main_numbers,special_number,hits,m1_plus,m2_plus,m3_plus,m4_plus,m5_plus,m6_plus,n_supported_numbers,top1_score,top1_support,top6_mean_support,rank6_score,rank7_score,rank6_minus_rank7_margin,rank6_support,rank7_support,rank6_rank7_tied,top6_family_breadth_mean,top6_distinct_families,score_entropy_norm,support_concentration_hhi,top6_score_mass_fraction,minority_support_mass,strategy_disagreement,family_disagreement,top6_slots_in_43_49,top6_slots_in_1_12,winner_ranks,winner_supports,winner_min_rank,n_winners_rank_7_8,n_winners_rank_7_12,n_winners_rank_21plus,n_winners_zero_support,top6_mean_gap,winners_mean_gap,top1_missed,special_rank,best_single_strategy_hits,n_strategies_m2plus
103000023,2014-03-07,103000022,SEARCH_1117,PRE_2023,2;5;9;13;17;25,6;18;26;30;37;38,16,0,0,0,0,0,0,0,43,0.287879,7,6.3333,0.159091,0.136364,0.022727,6,3,0,4.0,8,0.896258,0.037799,0.367965,0.261905,0.88946,0.89118,0,3,16;25;31;38;47;49,2;1;3;0;0;2,16,0,0,5,2,6.833,5.333,1,44,1,0
103000024,2014-03-11,103000023,SEARCH_1117,PRE_2023,2;6;9;17;25;31,13;15;16;20;40;43,14,0,0,0,0,0,0,0,41,0.356061,10,6.8333,0.174242,0.166667,0.007576,5,4,0,4.0,7,0.864005,0.043506,0.398268,0.186147,0.871114,0.859659,0,3,7;18;23;29;44;49,2;4;0;4;0;1,7,1,1,4,2,8.167,5.333,1,24,1,0
103000025,2014-03-14,103000024,SEARCH_1117,PRE_2023,2;6;9;13;21;25,2;8;27;40;41;47,28,1,1,0,0,0,0,0,44,0.280303,8,6.6667,0.159091,0.151515,0.007576,9,6,0,4.5,8,0.889317,0.03898,0.372294,0.244589,0.881798,0.858468,0,3,2;23;25;35;43;47,6;1;0;3;1;5,2,0,0,5,1,8.667,8.833,1,40,1,0
103000026,2014-03-18,103000025,SEARCH_1117,PRE_2023,2;9;13;21;25;31,12;26;28;35;39;40,16,0,0,0,0,0,0,0,47,0.30303,7,5.5,0.128788,0.121212,0.007576,5,5,0,4.3333,7,0.919303,0.034613,0.329004,0.257576,0.900425,0.88069,0,2,19;23;33;35;38;41,1;2;1;1;5;4,19,0,0,5,0,8.833,41.833,1,40,3,1
103000027,2014-03-21,103000026,SEARCH_1117,PRE_2023,2;7;9;13;25;31,8;18;26;31;46;47,20,1,1,0,0,0,0,0,41,0.227273,6,5.3333,0.151515,0.143939,0.007576,4,6,0,3.8333,7,0.897041,0.035466,0.322511,0.168831,0.893632,0.865599,0,3,4;11;28;31;37;44,1;0;5;4;3;3,4,0,1,4,1,11.167,4.5,1,7,2,4
103000028,2014-03-25,103000027,SEARCH_1117,PRE_2023,8;9;13;17;25;34,19;23;25;30;42;47,16,1,1,0,0,0,0,0,44,0.257576,7,5.8333,0.143939,0.136364,0.007576,8,4,0,3.8333,7,0.910926,0.033929,0.300866,0.201299,0.898186,0.870758,0,2,2;20;24;30;46;47,2;0;5;0;5;4,2,0,0,4,2,47.5,10.833,1,27,2,5
103000029,2014-03-28,103000028,SEARCH_1117,PRE_2023,2;9;13;17;25;29,9;18;23;35;36;47,41,1,1,0,0,0,0,0,49,0.227273,6,5.3333,0.136364,0.128788,0.007576,4,3,0,4.0,6,0.931043,0.032046,0.305195,0.34632,0.9039,0.888034,0,2,1;30;35;40;47;48,6;1;1;1;2;5,1,0,0,5,0,8.167,5.667,0,27,1,0
103000030,2014-04-01,103000029,SEARCH_1117,PRE_2023,2;4;9;13;17;29,18;22;29;30;46;47,6,1,1,0,0,0,0,0,44,0.310606,9,5.3333,0.143939,0.136364,0.007576,4,4,0,3.8333,6,0.921227,0.033161,0.305195,0.227273,0.902024,0.872952,0,3,4;14;23;32;38;47,3;3;4;0;3;5,4,0,0,4,1,11.167,7.333,1,18,2,4
103000031,2014-04-04,103000030,SEARCH_1117,PRE_2023,2;9;13;17;18;33,8;24;35;37;41;47,23,0,0,0,0,0,0,0,43,0.234848,8,5.5,0.143939,0.136364,0.007576,4,5,0,3.6667,8,0.912128,0.033451,0.309524,0.190476,0.897285,0.872837,0,2,11;22;31;32;33;35,1;3;1;3;2;5,11,0,1,5,0,6.667,5.167,1,43,3,3
103000032,2014-04-08,103000031,SEARCH_1117,PRE_2023,2;6;9;13;34;38,1;14;17;27;28;45,11,0,0,0,0,0,0,0,42,0.318182,8,6.8333,0.159091,0.151515,0.007576,4,7,0,4.1667,6,0.896705,0.037031,0.344156,0.279221,0.88241,0.858578,0,3,7;14;25;36;40;45,1;3;7;1;0;2,7,1,1,4,1,46.5,13.833,1,27,2,2
